airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Qantas,QAN.AX,2019,12,2019-12,6.757382440567016,319.45639300152794,-0.1260198183936223,1.445202986371346,20
Qantas,QAN.AX,2020,1,2020-01,6.390081973302932,302.09220154840744,-0.4750295857682819,1.3662750580557286,21
Qantas,QAN.AX,2020,2,2020-02,5.830690050125122,275.64685416363284,-0.7028268631605034,1.9520501907731063,20
Qantas,QAN.AX,2020,3,2020-03,3.32296391508796,157.0936787616775,-2.015737109524919,4.975537725815524,22
Qantas,QAN.AX,2020,4,2020-04,3.1986427783966063,151.21637608559317,0.9875921664248333,8.169857025551673,20
Qantas,QAN.AX,2020,5,2020-05,3.367620445433117,159.2048237550975,0.21093266678526854,4.506220234566796,21
Qantas,QAN.AX,2020,6,2020-06,3.998717773528326,189.04005623444792,-0.16419115087010502,3.633114759749561,21
Qantas,QAN.AX,2020,7,2020-07,3.371770889862724,159.40103671455287,-0.651334146974602,3.586558041613279,23
Qantas,QAN.AX,2020,8,2020-08,3.360107410521734,158.8496437642661,0.9687487844867823,2.594096919009317,21
Qantas,QAN.AX,2020,9,2020-09,3.6663552089170977,173.32756001371735,0.16374071056386896,2.321485276139719,22
Qantas,QAN.AX,2020,10,2020-10,4.016074256463484,189.8605868885029,0.17258114732075905,2.565699188769429,22
Qantas,QAN.AX,2020,11,2020-11,4.717320374080113,223.01211520740858,1.224681162575608,2.3396887236844033,21
Qantas,QAN.AX,2020,12,2020-12,4.7632826169331866,225.1849879795572,-0.4727799758161315,2.3839278422013406,21
Qantas,QAN.AX,2021,1,2021-01,4.458224321666517,210.76330569085903,-0.38474839580438774,1.7568759781621013,19
Qantas,QAN.AX,2021,2,2021-02,4.423714208602905,209.13183428335182,0.5503398937417009,1.6411338897904877,20
Qantas,QAN.AX,2021,3,2021-03,4.812722848809284,227.52228326855547,0.09026725500453914,2.026750703513097,23
Qantas,QAN.AX,2021,4,2021-04,4.760608792304993,225.05858246991585,-0.12938274080805667,1.6137823328982723,20
Qantas,QAN.AX,2021,5,2021-05,4.344760690416608,205.399293413213,-0.22123807376987095,1.459365463520813,21
Qantas,QAN.AX,2021,6,2021-06,4.393816630045573,207.71842122150304,-0.033532977850995044,1.7150587335924454,21
Qantas,QAN.AX,2021,7,2021-07,4.3590435331518,206.07451720913147,-0.05666895237136069,1.8656677475262264,22
Qantas,QAN.AX,2021,8,2021-08,4.27340677651492,202.02602511560542,0.49486966551145933,1.6136793739863953,22
Qantas,QAN.AX,2021,9,2021-09,5.068606246601451,239.6192139967802,0.5123960571082815,2.1717198988137136,22
